,Rank,Name,Country,Region,FacultyMemberInt,FacultyMemberTot,StudentInt,StudentTot
61,62,Shanghai Jiao Tong University,China,Asia,887,3544,2858,38931
62,63,Osaka University,Japan,Asia,296,2814,2106,22760
63,64,Technical University of Munich,Germany,Europe,1174,5850,6181,38726
64,65,University of Glasgow,United Kingdom,Europe,956,2775,8149,23815
65,66,Ludwig-Maximilians-Universität München,Germany,Europe,674,3274,5084,35055
66,67,University of Texas at Austin,United States,North America,108,2833,4744,47995
67,68,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,756,3908,5298,28852
68,69,University of Illinois at Urbana-Champaign,United States,North America,259,2554,9483,42427
69,70,Georgia Institute of Technology,United States,North America,75,1133,4761,21082
70,=71,Pohang University of Science And Technology (POSTECH),South Korea,Asia,113,664,126,3117
71,=71,KU Leuven,Belgium,Europe,784,2515,6926,45538
72,=73,University of Zurich,Switzerland,Europe,2617,4997,5036,26065
73,=73,University of Copenhagen,Denmark,Europe,2336,7483,3683,32119
74,75,Universidad de Buenos Aires (UBA),Argentina,Latin America,3165,16421,27109,122301
75,=76,Tohoku University,Japan,Asia,264,3411,1604,17827
76,=76,National Taiwan University (NTU),Taiwan,Asia,220,2807,3152,32195
77,=78,Lund University,Sweden,Europe,1002,3031,6408,27786
78,=78,Durham University,United Kingdom,Europe,586,1539,4690,16745
79,80,"University of North Carolina, Chapel Hill",United States,North America,524,4083,1934,25373
80,81,Boston University,United States,North America,379,3157,7041,25662
81,=82,The University of Auckland,New Zealand,Oceania,645,2047,8568,29641
82,=82,The University of Sheffield,United Kingdom,Europe,938,3065,8745,25430
83,=84,The University of Nottingham,United Kingdom,Europe,1135,3360,7993,29165
84,=84,University of Birmingham,United Kingdom,Europe,1028,2962,7795,28660
85,86,The Ohio State University,United States,North America,1696,5911,6874,43156
86,87,Zhejiang University,China,Asia,1913,4507,4625,40869
87,88,"Trinity College Dublin, The University of Dublin",Ireland,Europe,544,1249,4311,14961
88,89,Rice University,United States,North America,316,969,1847,6610
89,=90,Korea University,South Korea,Asia,339,3745,3638,25892
90,=90,University of Alberta,Canada,North America,1294,3561,8203,31765
91,92,University of St Andrews,United Kingdom,Europe,485,1140,4030,8800
92,=93,The University of Western Australia,Australia,Oceania,809,1420,4575,18531
93,=93,Pennsylvania State University,United States,North America,211,3509,7081,45612
94,=95,Lomonosov Moscow State University,Russia,Europe,373,6709,5098,30233
95,=95,The Hong Kong Polytechnic University,Hong Kong,Asia,1275,2447,5251,20972
96,97,University of Science and Technology of China,China,Asia,155,1992,548,16032
97,=98,University of Geneva,Switzerland,Europe,1029,1752,6104,15844
98,=98,KTH Royal Institute of Technology,Sweden,Europe,494,1500,1937,12658
99,100,Washington University in St. Louis,United States,North America,784,2699,2706,13474
100,101,University of Leeds,United Kingdom,Europe,870,3025,7534,29645
101,=102,University of Southampton,United Kingdom,Europe,1017,2820,7789,23775
102,=102,University of Helsinki,Finland,Europe,535,2645,1234,22419
103,104,Eindhoven University of Technology,Netherlands,Europe,322,801,1275,7636
104,105,Purdue University,United States,North America,1334,3247,8787,38143
105,106,Yonsei University,South Korea,Asia,290,3621,3379,25903
106,107,"KIT, Karlsruhe Institute of Technology",Germany,Europe,410,1827,4809,26081
107,108,Sungkyunkwan University (SKKU),South Korea,Asia,324,3556,2818,23921
108,=109,The University of Adelaide,Australia,Oceania,633,1729,8114,21240
109,=109,Utrecht University,Netherlands,Europe,653,3067,2771,31754
110,=109,Leiden University,Netherlands,Europe,581,2324,3488,26513
111,112,Uppsala University,Sweden,Europe,584,2567,5198,25371
112,113,University of Groningen,Netherlands,Europe,1137,3351,10780,27549
113,=114,Universiti Malaya (UM),Malaysia,Asia,655,2755,3476,17902
114,=114,Nanjing University,China,Asia,617,2449,2960,32495
115,=116,Technical University of Denmark,Denmark,Europe,966,2117,2098,8878
116,=116,Nagoya University,Japan,Asia,206,2665,1547,15838
117,118,"University of California, Davis",United States,North America,549,3843,4529,34244
118,119,Aarhus University,Denmark,Europe,602,2316,3762,26226
119,120,Humboldt-Universität zu Berlin,Germany,Europe,407,1966,4805,33198
120,121,Universidade de São Paulo,Brazil,Latin America,279,5582,2086,65711
121,=122,Hokkaido University,Japan,Asia,210,2605,1347,17552
122,=122,Universidad Nacional Autónoma de México  (UNAM),Mexico,Latin America,949,15073,2173,141939
123,124,Wageningen University,Netherlands,Europe,323,2277,3613,12695
124,=125,Freie Universitaet Berlin,Germany,Europe,305,1375,5735,32912
125,=125,Ghent University,Belgium,Europe,482,2520,3766,35968
126,127,Queen Mary University of London,United Kingdom,Europe,801,1885,6806,16135
127,128,Kyushu University,Japan,Asia,246,2858,1787,18660
128,129,"University of Maryland, College Park",United States,North America,473,3920,4683,35504
129,130,Université de Montréal,Canada,North America,1037,2961,9688,39112
130,131,Université Pierre et Marie Curie (UPMC),France,Europe,253,2273,4213,24305
131,132,University of Southern California,United States,North America,551,3124,9170,38749
132,133,Chalmers University of Technology,Sweden,Europe,336,1077,1465,9257
133,134,"University of California, Santa Barbara (UCSB)",United States,North America,267,1449,2128,23149
134,=135,Lancaster University,United Kingdom,Europe,435,1245,4464,12300
135,=135,University of York,United Kingdom,Europe,636,1833,3364,15999
136,=137,Pontificia Universidad Católica de Chile (UC),Chile,Latin America,198,2260,991,27003
137,=137,Aalto University,Finland,Europe,370,1257,1831,12147
138,=137,Cardiff University,United Kingdom,Europe,705,2755,6090,24565
139,140,McMaster University,Canada,North America,1170,3231,3548,23702
140,141,RWTH Aachen University,Germany,Europe,449,3176,8556,44517
141,=142,University of Oslo,Norway,Europe,711,2509,3667,24304
142,=142,University of Pittsburgh,United States,North America,572,4982,2937,26393
143,144,Technische Universität Berlin (TU Berlin),Germany,Europe,377,2562,4494,22176
144,145,The Hebrew University of Jerusalem,Israel,Asia,454,2249,1034,16531
145,146,University of Lausanne,Switzerland,Europe,1031,2173,3337,13435
146,=147,Emory University,United States,North America,484,2560,2154,12852
147,=147,Erasmus University Rotterdam,Netherlands,Europe,458,2011,5229,23273
148,=149,Michigan State University,United States,North America,653,2884,7427,44951
149,=149,University of Basel,Switzerland,Europe,684,1057,3441,12852
150,151,University of Otago,New Zealand,Oceania,759,1266,3871,18532
151,152,University of Waterloo,Canada,North America,473,1689,8962,35541
152,153,Université catholique de Louvain (UCL),Belgium,Europe,406,1219,4468,24277
153,154,University of Vienna,Austria,Europe,1400,3411,14468,45967
154,155,Hanyang University,South Korea,Asia,364,3085,3397,23348
155,156,Universitat de Barcelona,Spain,Europe,108,3863,6134,46002
156,157,École Normale Supérieure de Lyon,France,Europe,91,382,221,2020
157,=158,The University of Exeter,United Kingdom,Europe,597,1756,5504,20749
158,=158,University of Aberdeen,United Kingdom,Europe,508,1310,4246,12005
159,160,University of Bath,United Kingdom,Europe,440,1165,4213,14370
160,=161,National Tsing Hua University,Taiwan,Asia,119,1020,1187,13890
161,=161,Newcastle University,United Kingdom,Europe,835,2428,5717,21673
162,163,University of Minnesota,United States,North America,195,4919,6542,59742
163,=164,Eberhard Karls Universität Tübingen,Germany,Europe,796,3844,3860,27366
164,=164,"University of California, Irvine",United States,North America,377,1926,8538,32151
165,=164,University of Bergen,Norway,Europe,484,1513,767,10671
166,167,University of Bern,Switzerland,Europe,661,1172,1618,10758
167,168,University College Dublin,Ireland,Europe,627,1604,3876,19833
168,169,Dartmouth College,United States,North America,27,939,945,6224
169,170,Politecnico di Milano,Italy,Europe,231,1500,5593,36277
170,171,Albert-Ludwigs-Universitaet Freiburg,Germany,Europe,413,1966,3897,23214
171,172,Indian Institute of Technology Delhi (IITD),India,Asia,4,466,80,7477
172,=173,University of Virginia,United States,North America,487,2509,1899,21560
173,=173,King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,665,1062,989,6040
174,=173,University of Liverpool,United Kingdom,Europe,717,2390,7502,22065
175,176,University of Technology Sydney,Australia,Oceania,546,1328,7769,24207
176,177,CentraleSupélec,France,Europe,137,529,1132,3877
177,178,University of Florida,United States,North America,504,5419,4597,45485
178,=179,University of Twente,Netherlands,Europe,299,910,2235,9332
179,=179,Indian Institute of Technology Bombay (IITB),India,Asia,19,876,93,9402
180,181,University of Göttingen,Germany,Europe,641,3678,3736,30402
181,=182,Vrije Universiteit Brussel (VUB),Belgium,Europe,515,1792,1853,9284
182,=182,Universidade Estadual de Campinas (Unicamp),Brazil,Latin America,109,1968,966,26572
183,=182,University of Colorado Boulder,United States,North America,566,3685,2679,30219
184,=182,Vienna University of Technology,Austria,Europe,172,706,5199,17479
185,186,University of Rochester,United States,North America,488,2569,2805,9636
186,187,Universidad Autónoma de Madrid,Spain,Europe,181,2738,2976,26511
187,=188,Alma Mater Studiorum - University of Bologna,Italy,Europe,153,2990,4195,63399
188,=188,University of Reading,United Kingdom,Europe,422,1280,4077,13330
189,190,Indian Institute of Science (IISc) Bangalore,India,Asia,-1,423,47,4071
190,191,University of Cape Town,South Africa,Africa,379,1733,3325,19593
191,=192,Keio University CEMS MIM,Japan,Asia,261,3905,2178,33500
192,=192,Scuola Normale Superiore di Pisa,Italy,Europe,1,86,48,532
193,=192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,Europe,1,119,135,789
194,=195,Texas A&M University,United States,North America,206,3446,4900,60294
195,=195,Stockholm University,Sweden,Europe,646,2154,2636,28281
196,=195,Universitat Autònoma de Barcelona,Spain,Europe,230,2187,3848,31986
197,199,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,Latin America,821,1822,1412,13376
198,200,Maastricht University,Netherlands,Europe,502,1277,8234,16385
199,201,Universidad de Chile,Chile,Latin America,127,2256,2134,38848
